SKU ID,2020_COGS,current inventory value,turn over ratio,turn over days,turn over ratio share %,Cumulative turn over ratio %,ABC,Rank
2661CA,6006.0,129402.0,0.05,7300,0.0,100.08000000000033,C [Less],273
3044AA,5800.0,40600.0,0.14,2607,0.0,100.08000000000033,C [Less],274
3579CA,5459.0,10051.0,0.54,676,0.0,100.08000000000033,C [Less],275
3271CA,5255.0,9832.0,0.53,689,0.0,100.08000000000033,C [Less],276
2977BA,4646.0,23338.0,0.2,1825,0.0,100.08000000000033,C [Less],277
2498CA,4452.0,2695.0,1.65,221,0.0,100.08000000000033,C [Less],278
1511CA,4357.0,339.0,12.85,28,0.0,100.08000000000033,C [Less],279
3423CA,4256.0,2128.0,2.0,182,0.0,100.08000000000033,C [Less],280
2471CA,3740.0,461681.0,0.01,36500,0.0,100.08000000000033,C [Less],281
2925CA,3120.0,6288.0,0.5,730,0.0,100.08000000000033,C [Less],282
1716AA,2800.0,3080.0,0.91,401,0.0,100.08000000000033,C [Less],283
3420AA,2295.0,1260.0,1.82,201,0.0,100.08000000000033,C [Less],284
1708AA,1440.0,1800.0,0.8,456,0.0,100.08000000000033,C [Less],285
2487BA,907.0,5717.0,0.16,2281,0.0,100.08000000000033,C [Less],286
2488CA,526.0,21.0,25.05,15,0.0,100.08000000000033,C [Less],287
1436BA,375.0,10125.0,0.04,9125,0.0,100.08000000000033,C [Less],288
1668CA,68.0,340.0,0.2,1825,0.0,100.08000000000033,C [Less],289
1484BA,1.0,88.0,0.01,36500,0.0,100.08000000000033,C [Less],290
